ItemNum,ItemStem_Text,Answer__A,Answer__B,Answer__C,Answer__D,Answer__E,Answer__F,Answer__G,Answer__H,Answer__I,Answer__J,Answer_Key,Answer_Text,ItemType,EXAM,Difficulty,Response_Time
246,"A 5-year-old boy is brought to the emergency department by his parents because of a 2-day history of favoring his right leg when walking. Today, he has refused to bear weight on the right leg and had a temperature to 38.2Â°C (100.8Â°F). Treatment with ibuprofen has relieved the fever but has not improved the leg pain. The child has no known history of trauma. His parents report that he has been healthy except for a recent upper respiratory tract infection that has resolved. The child is lying supine on a gurney with his right lower extremity flexed and externally rotated at the hip. Vital signs are temperature 37.8Â°C (100.1Â°F), pulse 110/min, respirations 20/min, and blood pressure 88/50 mm Hg. Internal rotation of the right hip causes the child to cry. Examination of the right lower extremity discloses no deformity, ecchymosis, erythema, or swelling. The right foot is neurovascularly intact. Plain x-ray of the hips is shown. Which of the following is the most appropriate additional imaging study to obtain at this time?",Arthrography of the right hip,CT scan of the abdomen,MRI of the lumbar spine,Radionuclide bone scan,Ultrasonography of the hips,,,,,,E,Ultrasonography of the hips,PIX,STEP 3,1.32,115.95
354,A 12-year-old boy is brought to the physician because of a 2-month history of headaches and a 6-day history of nausea and vomiting. Funduscopic examination shows bilateral papilledema. He walks with a broad-based gait. An MRI of the brain shows a tumor in the pineal region compressing the brain stem and leading to hydrocephalus. This patient most likely has impairment of which of the following oculomotor functions?,Abduction,Horizontal pursuit,Optokinetic nystagmus,Upward gaze,Vestibulo-ocular reflex,,,,,,D,Upward gaze,Text,STEP 1,0.56,71.83
644,"A 23-year-old woman who is an active-duty enlisted airman in the US Air Force comes to the base clinic because of a 4-week history of an itchy sensation in her right ear. She has not had ringing in her ears or hearing loss. She works as a fuel specialist and at first attributed her symptom to the earplugs she uses when she is on the flight line. The symptom has not improved despite the patient's wearing headphones instead of the earplugs during the past 2Â weeks. She has no history of serious illness and takes no medications. Vital signs are within normal limits. During examination, pulling of the right pinna inferiorly to examine the ear canal produces pain. The right ear canal appears erythematous and edematous. The tympanic membrane cannot be fully visualized because of the presence of cerumen. Examination of the left ear shows no abnormalities. Which of the following is the most likely diagnosis?",Cerumen impaction,Ear canal trauma,Otitis externa,Polychondritis,Seborrheic dermatitis,,,,,,C,Otitis externa,Text,STEP 2,0.22,64.71
12,An 18-year-old primigravid woman comes for her initial prenatal visit at 16 weeks' gestation. She is not sure about the date of her last menstrual period but says that the pregnancy probably occurred immediately after she stopped taking oral contraceptives 5 months ago. Maternal serum Î±-fetoprotein (MSAFP) concentration is increased to 3 multiples of the median. Which of the following is the most appropriate next step in management?,Repeat measurement of MSAFP concentration,"Triple screening for MSAFP, serum Î²-hCG, and serum estriol concentrations",Ultrasonography,Amniocentesis for measurement of Î±-fetoprotein concentration,Amniocentesis for chromosomal analysis,,,,,,C,Ultrasonography,Text,STEP 2,0.58,65.15
343,A 34-year-old woman with a 10-year history of hepatitis C comes to the physician because of progressive fatigue during the past month. Her vital signs are within normal limits. Physical examination shows that the liver is not palpable. Serum studies show: Albumin 3 g/dL Total bilirubin 1.8 mg/dL Alkaline phosphatase 115 U/L AST 53 U/L ALT 48 U/LA liver biopsy specimen shows focal areas of hepatocellular injury with infiltration of lymphocytes and early fibrosis. Which of the following mechanisms is the most likely cause of the ongoing hepatocyte injury in this patient?,Foreign peptides bound to class I MHC molecules are recognized by CD4+ T lymphocytes,Foreign peptides bound to class I MHC molecules are recognized by CD8+ T lymphocytes,Foreign peptides bound to class II MHC molecules are recognized by CD8+ T lymphocytes,Self-peptides bound to class I MHC molecules are recognized by CD8+ T lymphocytes,Self-peptides bound to class II MHC molecules are recognized by CD4+ T lymphocytes,,,,,,B,Foreign peptides bound to class I MHC molecules are recognized by CD8+ T lymphocytes,Text,STEP 1,0.36,96.06
174,"A 47-year-old man comes to the physician 12 hours after the sudden onset of a severe occipital headache and stiff neck. He has not had any other symptoms and has no history of severe headache. He has hypertension and gastroesophageal reflux disease. Current medications include hydrochlorothiazide and ranitidine. He is oriented to person, place, and time. His temperature is 36.7Â°C (98.1Â°F), pulse is 100/min, and blood pressure is 160/90 mm Hg. Range of motion of the neck is decreased due to pain. Neurologic examination shows no focal findings. Which of the following is the most likely diagnosis?",Cluster headache,Meningitis,Migraine,Subarachnoid hemorrhage,Tension-type headache,,,,,,D,Subarachnoid hemorrhage,Text,STEP 2,0.9,76.34
429,"A 50-year-old woman comes to the physician for a follow-up examination. Her blood pressure was 145/100 mm Hg and 145/95 mm Hg, respectively, at two previous visits. Today, her pulse is 75/min, respirations are 15/min, and blood pressure is 150/95 mm Hg. Physical examination shows no other abnormalities. If left untreated, which of the following is most likely to decrease in this patient?",Baroreceptor output,Left ventricular stiffness during diastole,Left ventricular stroke work,Left ventricular wall thickness,Myocardial oxygen consumption,,,,,,A,Baroreceptor output,Text,STEP 1,1.02,100.03
154,"A 15-year-old girl is brought to the office by her parents because of a 2-month history of progressively worsening gait disturbance. She has fallen several times, once striking her head and causing a brief loss of consciousness. Her parents state that she has had behavioral changes during this time. Medical history is remarkable for asthma treated with a corticosteroid inhaler as needed. Family history is remarkable for multiple sclerosis in a maternal aunt, parkinsonism in her paternal grandfather, and cancer in several paternal relatives, including a grandmother who died from a hemangioblastoma. Vital signs are normal. The patient is awake and alert, but she avoids eye contact and will not answer questions. Auscultation of the lungs discloses expiratory wheezing. Cardiac and abdominal examinations disclose no abnormalities. She has mild bilateral papilledema. Her stance and gait are wide-based, and she is unable to perform a tandem walk. Toxicology screening of the urine is positive for marijuana and cocaine metabolites. Which of the following is the most likely initial working diagnosis?",Cerebellar tumor,Drug-related ataxia,Epidural hematoma,Juvenile-onset parkinsonism,Multiple sclerosis,,,,,,A,Cerebellar tumor,Text,STEP 3,0.6,103.53
92,Investigators conduct a study that evaluates the effect of finasteride on the incidence of prostate cancer in 500 patients. The investigators recruit an additional 1000 patients for the study. Which of the following effects will this have on the research study?,Greater chance of a Type I error,Greater chance of a Type II error,Less chance of a Type I error,Less chance of a Type II error,Impossible to predict,,,,,,D,Less chance of a Type II error,Text,STEP 1,0.34,53.15
640,"A 76-year-old woman, who is receiving home hospice care because of end-stage metastatic lung cancer diagnosed 1Â month ago, is examined at home at the request of her family because of a 3-hour history of labored breathing despite receiving 100%Â oxygen at 5Â L/min via face mask. Pulse is 92/min, respirations are 18/min, and blood pressure is 105/62Â mmÂ Hg. Pulse oximetry on 100% oxygen via face mask shows an oxygen saturation of 85%. The patient appears cachectic and is in mild distress, showing increased work of breathing with prominent sternocleidomastoid muscles and intermittent agonal respirations. Which of the following is the most appropriate next step in management?",Administer intravenous morphine,Admit the patient to the hospital for further evaluation,Initiate a propofol infusion,Transition the patient to noninvasive positive pressure ventilation,No further action is indicated,,,,,,A,Administer intravenous morphine,Text,STEP 2,0.92,81.33
67,"A 35-year-old man comes to the office for follow-up of sarcoidosis. His only new complaint is pain in his legs that increases with weight-bearing. He has been taking glucocorticoid therapy for the past 6 months. Vital signs now are temperature 37.0Â°C (98.6Â°F), pulse 78/min, respirations 14/min, and blood pressure 110/70 mm Hg. The patient is thin and is in no acute distress. Auscultation of the chest discloses scattered bilateral basilar crackles. There is mild left hip pain present with both active and passive range of motion. Dorsalis pedis pulse is intact. Neurologic examination is normal. Which of the following is the most likely cause of this patient's symptoms?",Avascular necrosis of the femoral head,Herniated nucleus pulposus,Narrowing of the hip joint,Osteoporosis,Stress fracture of the acetabulum,,,,,,A,Avascular necrosis of the femoral head,Text,STEP 3,0.8,80.48
495,"A 12-year-old boy is brought to the office by his parents for genetic counseling because of a family history of genetic disorders. He has no symptoms or history of major medical illness. The patientâ€™s maternal grandfather died of Huntington disease at the age of 35 years. Genetic testing of the mother showed 19 triplet repeats on each huntingtin (HTT) allele (N=10â€“20). The patientâ€™s paternal grandfather had colon cancer at the age of 30 years, and the father had numerous colon polyps at the age of 20 years treated with a colectomy. Genetic testing of the father shows heterozygosity for a frame-shift mutation in the APC gene. Physical examination of the patient shows no abnormalities. Based on this patientâ€™s risk for genetic disease, it is most appropriate for the physician to order which of the following genetic tests at this time?",Analysis of triplet repeat sizes of HTT,Full sequencing and rearrangement analysis of APC,Full sequencing of HTT,Specific testing for the APC frame-shift mutation,It is not recommended to do predictive genetic testing on a minor,,,,,,D,Specific testing for the APC frame-shift mutation,Text,STEP 1,0.92,123.71
275,A 22-year-old woman contacts a medical student and asks if he would like to join her for dinner. The student met the woman when he was assigned to her care during her 2-week hospitalization for treatment of major depressive disorder. He has not treated or seen the patient since she was discharged from the hospital. He is attracted to this former patient and would be interested in dating her. Which of the following is the most appropriate action by the medical student regarding this patient's invitation?,"He can date her because he was a medical student, not a physician, when he contributed to her care",He can date her because she is no longer his patient,"He can date her, but only after at least 1 year has passed since he treated her",He cannot date her because she was once his psychiatric patient,He cannot date her unless she agrees never to seek care at his hospital in the future,,,,,,D,He cannot date her because she was once his psychiatric patient,Text,STEP 1,0.42,63.95
586,"A 16-year-old boy is brought to the emergency department because of a 2-day history of fever, nausea, vomiting, headache, chills, and fatigue. He has not had any sick contacts. He underwent splenectomy for traumatic injury at the age of 13 years. He has no other history of serious illness and takes no medications. He appears ill. His temperature is 39.2Â°C (102.5Â°F), pulse is 130/min, respirations are 14/min, and blood pressure is 110/60 mm Hg. On pulmonary examination, scattered crackles are heard bilaterally. Abdominal examination shows a well-healed midline scar and mild, diffuse tenderness to palpation. Which of the following is the most appropriate next step in management?",Antibiotic therapy,Antiemetic therapy,CT scan of the chest,X-ray of the abdomen,Reassurance,,,,,,A,Antibiotic therapy,Text,STEP 2,0.38,88.88
93,"A 45-year-old woman comes to the office because of a 3-day history of nasal congestion, headache, sore throat, and general malaise. She has developed a cough during the past 24 hours that is mildly productive of clear sputum. Except for occasional seasonal allergies, she has no previous history of medical problems. She takes no medications on a regular basis but during the past 3 days she has been taking an over-the-counter oral cold medication. She follows a strict low-fat vegetarian diet and she drinks three to four glasses of wine per week. She jogs 3 miles a day when she is not sick. Vital signs today are temperature 37.5Â°C (99.5Â°F), pulse 90/min, and blood pressure 140/94 mm Hg. Height is 170 cm (5 ft 7 in); weight is 54 kg (120 lb); BMI is 19 kg/m2. On physical examination she appears slightly anxious. Nasal mucosa is erythematous and swollen, and sinuses are nontender. Posterior pharynx is also erythematous but there are no exudates. Lungs are clear on auscultation and cardiac examination is normal. Repeat blood pressure measurement at the end of the examination is 142/96 mm Hg in the left arm and 138/94 mm Hg in the right arm. Which of the following is the most likely cause of her elevated blood pressure?",Acute viral illness,Chronic sinusitis,Essential hypertension,Her alcohol intake,Over-the-counter cold medication,,,,,,E,Over-the-counter cold medication,Text,STEP 3,0.22,77.42
367,"An 18-year-old man is being prepared to undergo left temporal craniotomy for meningioma. General anesthesia has been administered. The surgeon reviews the patient's most recent MRI findings, which are hanging on a view box in the operating room, and prepares to clip the hair from the patient's right scalp. The circulating nurse is concerned because the signed operative consent form indicates a left temporal craniotomy. Which of the following is the most appropriate course of action for the circulating nurse?",No action is required,Review the MRI to determine the correct operative site,Ask the surgeon to continue the operation only after the discrepancy is resolved,Change the operative consent to match the surgeon's actions,Call the waiting room to confirm the correct operative site with the patient's parents,Write a postoperative incident report only,,,,,C,Ask the surgeon to continue the operation only after the discrepancy is resolved,Text,STEP 2,0.1,64.75
152,"A new blood test to detect prostate cancer is evaluated in 300 male volunteers. A needle biopsy of the prostate gland is done on all men with serum prostate-specific antigen concentrations greater than 5 ng/mL (N<4). One hundred men undergo biopsy procedures; 90 are found to have prostate cancer, and five are found to have chronic prostatitis. Which of the following is necessary to calculate the sensitivity of this test?",Incidence of chronic prostatitis in the general population,Number of men with test results greater than 5 ng/mL and a normal biopsy specimen,Prevalence of chronic prostatitis in the general population,Prostate biopsies of men with test results equal to or below 5 ng/mL,,,,,,,D,Prostate biopsies of men with test results equal to or below 5 ng/mL,Text,STEP 1,0.76,164.84
112,"A 25-year-old woman comes to the physician because of a 2-month history of numbness in her right hand. During this period, she has had tingling in the right ring and small fingers most of the time. She has no history of serious illness and takes no medications. She is employed as a cashier and uses a computer at home. She played as a pitcher in a softball league for 5 years until she stopped 2 years ago. Vital signs are within normal limits. Examination shows full muscle strength. Palpation of the right elbow produces a jolt of severe pain in the right ring and small fingers. Sensation to pinprick and light touch is decreased over the medial half of the right ring finger and the entire small finger. The most likely cause of these findings is entrapment of which of the following on the right?",Brachial plexus at the axilla,Median nerve at the wrist,Musculocutaneous nerve at the forearm,Radial nerve at the forearm,Ulnar nerve at the elbow,,,,,,E,Ulnar nerve at the elbow,Text,STEP 2,0.1,52.8
437,"A previously healthy 64-year-old man is brought to the emergency department 3 hours after the sudden onset of severe flank pain. He has no history of similar pain or serious illness. He takes no medications. He appears to be in distress. His pulse is 100/min, and blood pressure is 168/92 mm Hg. Physical examination shows a soft abdomen with left-sided tenderness. Urinalysis shows microscopic hematuria. A CT scan of the abdomen shows a small ureteric calculus. Analgesic therapy is initiated and the pain resolves 1 hour later. The urine is then strained and a uric acid calculus is found. Which of the following processes is most likely impaired in this patient?",Bile salt metabolism,Cholesterol metabolism,Cytochrome P450 activity,Purine metabolism,Urea cycle,,,,,,D,Purine metabolism,Text,STEP 1,0.3,99.63
293,"A 52-year-old man is brought to the emergency department because of a 2-day history of severe, progressive shortness of breath associated with exacerbation of his chronic cough. He has a 6-week history of pneumonia, which has responded slowly to treatment. Prior to the onset of his current symptoms, he had minimally productive cough and mild shortness of breath after walking one or two blocks. He also has had a low-grade fever for 6 days. He has no other history of serious illness. Current medications are erythromycin and an over-the-counter cough suppressant. He has smoked one pack of cigarettes daily for 20 years. On arrival, he appears ill. He is diaphoretic and in severe respiratory distress. Temperature is 38.1Â°C (100.6Â°F), pulse is 110/min, respirations are 36/min and shallow, and blood pressure is 70/50 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 83%. Examination shows perioral cyanosis. There is no jugular venous distention. Diffuse crackles and wheezes are heard throughout the lungs. Heart sounds are normal. While a blood sample is being taken, the patient's blood pressure decreases, and he stops breathing. He is intubated, and mechanical ventilation is begun. Laboratory studies show: Hematocrit 42% Leukocyte count 16,000/mm3 â€ƒSegmented neutrophils 85% â€ƒLymphocytes 15%  Platelet count 200,000/mm3 pH 7.35 Pco2 42 mm Hg Po2 55 mm HgArterial blood gas analysis on an Fio2 of 1.0 shows: Hematocrit 42% Leukocyte count 16,000/mm3 â€ƒSegmented neutrophils 85% â€ƒLymphocytes 15%  Platelet count 200,000/mm3 pH 7.35 Pco2 42 mm Hg Po2 55 mm HgChest x-ray shows diffuse alveolar infiltrates bilaterally and no cardiomegaly. Following intravenous administration of fluids, his blood pressure increases to 118/80 mm Hg. Which of the following is the most appropriate next step in management?",Continuation of mechanical ventilation at the current setting,Administration of cyclophosphamide,Administration of dexamethasone,Extracorporeal membrane oxygenation,Application of positive end-expiratory pressure,,,,,,E,Application of positive end-expiratory pressure,Text,STEP 2,0.24,129.91
2,"An obese 33-year-old woman has had four 12-hour episodes of severe, sharp, penetrating pain in the right upper quadrant of the abdomen associated with vomiting but no fever. She has no diarrhea, dysuria, or jaundice and is asymptomatic between episodes. There is slight tenderness to deep palpation in the right upper quadrant. Which of the following is the most appropriate next step in diagnosis?",Supine and erect x-rays of the abdomen,Upper gastrointestinal series,Ultrasonography of the upper abdomen,CT scan of the abdomen,HIDA scan of the biliary tract,,,,,,C,Ultrasonography of the upper abdomen,Text,STEP 2,0.26,51.16
56,"A 37-year-old woman comes to the emergency department because of a 3-day history of increasingly severe abdominal pain, nausea, and vomiting. Twelve years ago, she had a hysterectomy because of severe dysfunctional uterine bleeding. Her temperature is 37Â°C (98.6Â°F), blood pressure is 106/70 mm Hg, pulse is 110/min, and respirations are 12/min. Examination shows a distended, tympanic abdomen with diffuse tenderness but no guarding; bowel sounds are hypoactive. Her leukocyte count is 10,000/mm3, and hematocrit is 44%. An x-ray of the abdomen is shown. Which of the following is the most appropriate initial step in management?",CT scan of the abdomen,Intravenous neostigmine therapy,Esophagogastroduodenoscopy,Nasogastric intubation,Laparotomy,,,,,,D,Nasogastric intubation,PIX,STEP 2,0.56,74.11
368,"A 52-year-old man comes to the emergency department because of increasingly severe pain and swelling of his right foot since he tripped over a rug 2 days ago; he did not fall. The next morning, he had redness and dull pain of the foot. He has type 2 diabetes mellitus and hypertension. Medications are insulin, metoprolol, and enalapril. He is 168 cm (5 ft 6 in) tall and weighs 118 kg (260 lb); BMI is 42 kg/m2. Temperature is 37.2Â°C (99.0Â°F), pulse is 90/min, respirations are 15/min, and blood pressure is 145/90 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 98%. The skin over the lower extremities is intact. Dorsalis pedis pulses are 1+ bilaterally. Homans sign is negative bilaterally. The right foot and ankle are warm and edematous; there is rubor that decreases with elevation of the extremity. The right midfoot is tender to palpation. Motor examination of the lower extremities shows no abnormalities. Semmes-Weinstein 5.07 monofilament testing shows decreased sensation over both feet. An x-ray of the right foot is shown. Which of the following is the most appropriate next step in management?",Measurement of serum uric acid concentration,Venous duplex ultrasonography of the right lower extremity,Intravenous vancomycin therapy,Immobilization of the right foot in a posterior splint,Surgical reconstruction of the right foot,,,,,,D,Immobilization of the right foot in a posterior splint,PIX,STEP 2,0.92,133.14
613,"A 50-year-old man returns to the office for a follow-up examination. During the past 2 months, he has had increased blood pressure readings during several checks at the office and at home. He says he has felt well. He has major depressive disorder and gout. Medications are fluoxetine and allopurinol. His maternal grandfather had congestive heart failure and the patient's older brother has hypertension. The patient has smoked one-half pack of cigarettes daily for 32Â years. He is 180Â cm (5Â ftÂ 11Â in) tall and weighs 95Â kg (210Â lb); BMI is 29Â kg/m2. Pulse is 70/min and blood pressure is 152/90Â mmÂ Hg. Physical examination discloses no abnormalities. Which of the following medications is contraindicated in this patient?",Amlodipine,Doxazosin,Hydrochlorothiazide,Lisinopril,Metoprolol,,,,,,C,Hydrochlorothiazide,Text,STEP 2,0.32,83.97
45,"A 17-year-old girl has never had a menstrual period.  Physical examination shows a normal female body habitus, normal breast development, and normal appearing external genitalia. She has no axillary or pubic hair.  The patient refuses to have a pelvic or rectal examination.  Which of the following is the most likely explanation for the clinical presentation?",Androgen insensitivity,Congenital adrenal hyperplasia,Ectodermal dysplasia,A psychiatric disorder,A sex chromosome mosaicism,,,,,,A,Androgen insensitivity,Text,STEP 1,0.48,88.2
185,"A 26-year-old woman with HIV infection comes to the office because of a 4-day history of pain and redness of her left lower leg. She says the symptoms began after she tripped over a tree branch in her yard and scraped her left leg. Current medications include antiretroviral therapy and ibuprofen as needed. Vital signs are temperature 38.3Â°C (100.9Â°F), pulse 86/min, respirations 14/min, and blood pressure 138/70 mm Hg. There is a 5Ã—8-cm area on the anterior surface of her left lower extremity that is swollen, erythematous, and tender. She previously has developed a rash after taking erythromycin, and she has had an anaphylactic response to penicillin. Which of the following antibiotic therapies is most appropriate for this patient?",Amoxicillin,Ciprofloxacin,Clarithromycin,Clindamycin,No antibiotic therapy is indicated,,,,,,D,Clindamycin,Text,STEP 3,0.86,77.17
127,"Three days after hospitalization for diabetic ketoacidosis, an 87-year-old woman refuses insulin injections. She says that her medical condition has declined so much that she no longer wishes to go on living; she is nearly blind and will likely require bilateral leg amputations. She reports that she has always been an active person and does not see how her life will be of value anymore. She has no family and most of her friends are sick or deceased. On mental status examination, she is alert and cooperative. She accurately describes her medical history and understands the consequences of refusing insulin. There is no evidence of depression. She dismisses any attempts by the physician to change her mind, saying that the physician is too young to understand her situation. She says, ""I know I will die, and this is what I want."" Which of the following is the most appropriate next step in management?","Discharge the patient after she has signed an ""against medical advice"" form",Seek a court order to appoint a legal guardian,Offer insulin but allow the patient to refuse it,Admit to the psychiatric unit,Administer insulin against the patient's wishes,,,,,,C,Offer insulin but allow the patient to refuse it,Text,STEP 2,0.42,74.08
401,"A 38-year-old man comes to the office because of a 2-month history of intermittent episodes of hot flushes, chest discomfort, and excessive sweating, with associated panic. The episodes have been increasing in frequency and now are occurring daily. The patient says there is no specific precipitating cause of the episodes, but he has noticed that the episodes occur most frequently in the afternoon. He does not have any new stressors in his life. Medical history is significant for hypertension and typeÂ 2 diabetes mellitus. Medications are lisinopril and metformin. Family history is significant for hyperparathyroidism in an aunt and the death of an uncle from medullary thyroid cancer. The patient's BMI is 33Â kg/m2. Vital signs are temperature 36.9Â°C (98.4Â°F), pulse 74/min, respirations 18/min, and blood pressure 138/92Â mmÂ Hg. Physical examination discloses no abnormalities. Results of serum laboratory studies are shown: Calcium 9.8 mg/dL Urea nitrogen 15 mg/dL Creatinine 1.0 mg/dL Na+ 140 mEq/L K+ 3.8 mEq/L Clâˆ’ 102 mEq/L HCO3âˆ’ 28 mEq/LECG shows no abnormalities. Which of the following is the most appropriate diagnostic study at this time?",Plasma renin activity,Serum aldosterone concentration,Serum free metanephrine concentration,Serum parathyroid hormone concentration,No study is indicated,,,,,,C,Serum free metanephrine concentration,Text,STEP 3,0.24,87.02
521,"A 55-year-old man with major depressive disorder is brought to the emergency department 1 1/2 hours after he was found by his brother in his home acting strangely. On arrival, he is babbling incoherently and cannot answer questions. There are two empty pill bottles in his pockets; one is for paroxetine and the other is for duloxetine. He is restless, diaphoretic, and says he has a severe headache. Temperature is 38.5Â°C (101.3Â°F), pulse is 130/min, and blood pressure is 145/105 mm Hg. The pupils are 8 mm and reactive to light. Deep tendon reflexes are 4+ and symmetric in all extremities. There is spontaneous myoclonus in the upper extremities. Results of laboratory studies, including a complete blood count, serum electrolyte concentrations, creatine phosphokinase activity, and thyroid function tests, are within the reference ranges. After admitting the patient to the hospital for observation and supportive care, which of the following is the most appropriate next step in pharmacotherapy?",Add carbamazepine to the medication regimen,Add dantrolene to the medication regimen,Add haloperidol to the medication regimen,Discontinue paroxetine and duloxetine,Switch from duloxetine to olanzapine,,,,,,D,Discontinue paroxetine and duloxetine,Text,STEP 2,0.66,106.84
469,"A 25-year-old woman comes to the physician because of a 4-month history of cough and unintentional weight loss. Rhonchi are heard posteriorly over the right upper thorax. A chest x-ray shows an 8-cm cavity in the right upper lobe and hilar lymphadenopathy. Ziehl-Neelsen staining of an induced sputum specimen shows acid-fast bacilli. The patient begins treatment with four antimycobacterial drugs, including rifampin. Synthesis of which of the following components of the suspected pathogen is most likely directly inhibited by the rifampin in this patient's medication regimen?",ATP,Folic acid,Peptidoglycan,Protein,RNA,,,,,,E,RNA,Text,STEP 1,0.18,53.96
338,"A 25-year-old man was admitted to the hospital yesterday with a massive hemothorax sustained as a result of a stab wound. Left lateral thoracotomy was done because more than 2Â L of blood returned following chest tube placement. The thoracotomy disclosed a bleeding intercostal vessel that was repaired by suture ligation. Vital signs now are temperature 36.0Â°C (96.8Â°F), pulse 100/min, respirations 18/min, and blood pressure 120/78Â mmÂ Hg. Pulse oximetry on 5Â L/min of oxygen via nasal cannula shows an oxygen saturation of 95%. Physical examination discloses a well-approximated staple line at the incision site and mild erythema. Decreased respiratory excursion is noted on the left side. The chest tube is draining a small amount of serosanguineous fluid; no air leak is noted. Which of the following is the most appropriate next step in management?",Administration of broad-spectrum antibiotics,Initiation of tube feedings,Pain reduction,Physical therapy,Psychological evaluation for post-traumatic stress disorder,,,,,,C,Pain reduction,Text,STEP 3,0.32,79.91
23,"For 8 weeks, a 52-year-old man with a 5-year history of type 2 diabetes mellitus has had deep burning pain in the ball of his right foot and big toe when the foot is raised above chest concentration. He also has cramping in his right calf when he walks more than 50 feet. He has smoked two packs of cigarettes daily for 30 years. Femoral pulses are palpable; pedal pulses are absent. Which of the following is the most likely diagnosis?",Aortoiliac stenosis,Femoral popliteal stenosis,Mononeuropathy,Vasculitis,Venous stasis,,,,,,B,Femoral popliteal stenosis,Text,STEP 2,0.2,59.33
339,"A 25-year-old man, who was admitted to the hospital 5 hours ago because of nausea, light-headedness, and muscle aches that began after he completed a marathon, now reports worsening pain in his right leg. On admission, the patient reported only mild muscle aching, but he now rates the pain in his right lower extremity as a 9 on a 10-point scale. Laboratory studies on admission were notable for a serum creatine kinase concentration of 10,000 U/L and a serum creatinine concentration of 1.7 mg/dL. Since admission the patient has received 5Â L of 0.9% saline and his nausea and light-headedness have resolved. He is alert and fully oriented. Vital signs are temperature 36.9Â°C (98.5Â°F), pulse 88/min, respirations 16/min, and blood pressure 126/82Â mmÂ Hg. Pulse oximetry on room air shows an oxygen saturation of 97%. Cardiopulmonary and abdominal examinations disclose no abnormalities. Passive flexion of the toes elicits pain over the anterior portion of the right lower extremity below the knee. Distal pulses are present in the lower extremities bilaterally. The remainder of the physical examination discloses no abnormalities. Results of laboratory studies obtained 1Â hour ago are shown: Serum Â  Blood Â  â€ƒUrea nitrogen 12 mg/dL â€ƒHemoglobin 14.0 g/dL â€ƒCreatinine 1.2 mg/dL â€ƒWBC 14,000/mm3 â€ƒNa+ 140 mEq/L â€ƒâ€ƒNeutrophils, segmented 60% â€ƒK+ 4.0 mEq/L Â  Â  â€ƒClâˆ’ 100 mEq/L Â  Â  â€ƒHCO3âˆ’ 24 mEq/L Â  Â Which of the following is the most appropriate next step in management?",Application of ice to the right lower extremity,Cyclobenzaprine therapy,Measurement of lower extremity compartment pressures,MRI of the right lower extremity,Nonsteroidal anti-inflammatory drug therapy,,,,,,C,Measurement of lower extremity compartment pressures,Text,STEP 3,0.7,99.52
59,"A sexually active 23-year-old man with multiple sex partners has dysuria and a yellow urethral exudate.  Gram stain of the exudate shows numerous neutrophils, many that contain intracellular gram-negative diplococci.  He has had three similar episodes of urethritis over the past 2 years. Which of the following properties of the infecting organism best explains the reinfection?",Antigenic variation,Catalase,Inhibition of B-lymphocyte function,Inhibition of T-lymphocyte function,Polysaccharide capsule,,,,,,A,Antigenic variation,Text,STEP 1,0.2,41.19
524,"A 50-year-old woman comes to the office because of a 3-month history of a facial rash that has increased in size despite use of over-the-counter corticosteroid cream. She also has a 6-month history of shortness of breath with exertion and nonproductive cough, which she attributes to a sedentary lifestyle. She has no history of serious illness, takes no medications, and has no known drug allergies. She has no history of trauma or operative procedures to the face. She does not smoke cigarettes or drink alcohol. Vital signs are within normal limits. A photograph of the face and x-rays of the chest are shown. Examination shows no other abnormalities. Which of the following is the most likely diagnosis?",Rosacea,Sarcoidosis,Seborrheic dermatitis,Systemic lupus erythematosus,Systemic sclerosis (scleroderma),,,,,,B,Sarcoidosis,PIX,STEP 2,0.18,58.14
540,"A 4-year-old boy develops fever 3 weeks after being admitted to the hospital for induction chemotherapy for treatment of acute lymphoblastic leukemia. Chemotherapy medications are l-asparaginase, dexamethasone, doxorubicin, and vincristine. His temperature is 38.2Â°C (100.8Â°F), pulse is 122/min, and respirations are 24/min. Physical examination shows pallor, alopecia, and ulcerations over the gums. A central venous catheter with entry site in the right upper chest is present but has no surrounding erythema. A blood culture grows gram-negative rods after 36 hours. Which of the following underlying mechanisms is the most likely cause of this patient's susceptibility to infection?",Deficiency of terminal complement,Hypogammaglobulinemia,Impaired T-lymphocyte function,Inhibition of tumor necrosis factor Î± function,Neutropenia,,,,,,E,Neutropenia,Text,STEP 1,0.4,106.85
